id,app_user_id,steps,start_timestamp,end_timestamp
1,23,378,2025-10-21 05:00:22.034,2025-10-21 05:03:54.597
2,38,500,2025-10-21 05:00:47.861,2025-10-21 05:03:54.623
3,4,11,2025-10-21 05:01:43.823,2025-10-21 05:05:11.739
4,22,8,2025-10-21 05:02:56.655,2025-10-21 05:05:47.724
5,10,69,2025-10-21 05:02:59.454,2025-10-21 05:03:21.706
6,31,228,2025-10-21 05:05:09.710,2025-10-21 05:09:51.027
7,21,154,2025-10-21 05:05:10.557,2025-10-21 05:05:21.670
8,15,413,2025-10-21 05:05:16.060,2025-10-21 05:07:18.696
9,39,80,2025-10-21 05:05:26.873,2025-10-21 05:08:46.511
10,19,138,2025-10-21 05:05:35.116,2025-10-21 05:07:38.277
11,11,444,2025-10-21 05:05:45.150,2025-10-21 05:08:27.047
12,9,336,2025-10-21 05:06:06.752,2025-10-21 05:09:21.139
13,4,386,2025-10-21 05:06:15.539,2025-10-21 05:07:04.623
14,18,117,2025-10-21 05:06:34.327,2025-10-21 05:10:28.657
15,32,389,2025-10-21 05:06:40.922,2025-10-21 05:10:30.336
16,17,225,2025-10-21 05:06:41.587,2025-10-21 05:09:18.571
17,24,221,2025-10-21 05:06:52.819,2025-10-21 05:11:27.567
18,14,325,2025-10-21 05:07:13.008,2025-10-21 05:08:31.011
19,33,105,2025-10-21 05:07:20.483,2025-10-21 05:08:37.661
20,2,304,2025-10-21 05:08:00.708,2025-10-21 05:09:48.469
21,20,268,2025-10-21 05:08:49.675,2025-10-21 05:09:29.637
22,7,214,2025-10-21 05:08:54.053,2025-10-21 05:12:26.252
23,4,28,2025-10-21 05:09:08.706,2025-10-21 05:12:58.882
24,19,425,2025-10-21 05:09:29.173,2025-10-21 05:10:35.185
25,20,473,2025-10-21 05:09:31.637,2025-10-21 05:10:41.716
26,23,95,2025-10-21 05:10:12.317,2025-10-21 05:12:17.265
27,8,83,2025-10-21 05:10:21.488,2025-10-21 05:15:05.980
28,20,330,2025-10-21 05:10:43.716,2025-10-21 05:14:38.282
29,24,390,2025-10-21 05:11:29.567,2025-10-21 05:14:00.601
30,9,58,2025-10-21 05:11:41.175,2025-10-21 05:12:08.996
31,18,219,2025-10-21 05:12:02.767,2025-10-21 05:15:45.216
32,14,492,2025-10-21 05:12:04.564,2025-10-21 05:17:03.408
33,5,333,2025-10-21 05:12:28.127,2025-10-21 05:15:18.412
34,13,495,2025-10-21 05:13:42.612,2025-10-21 05:14:35.759
35,24,475,2025-10-21 05:14:03.601,2025-10-21 05:17:14.549
36,35,342,2025-10-21 05:14:07.457,2025-10-21 05:17:25.927
37,17,473,2025-10-21 05:14:07.581,2025-10-21 05:19:08.331
38,31,148,2025-10-21 05:14:08.298,2025-10-21 05:16:43.609
39,10,9,2025-10-21 05:14:14.811,2025-10-21 05:19:13.312
40,32,452,2025-10-21 05:14:16.772,2025-10-21 05:19:09.391
41,1,433,2025-10-21 05:14:36.040,2025-10-21 05:17:36.273
42,20,94,2025-10-21 05:14:44.448,2025-10-21 05:18:54.678
43,8,414,2025-10-21 05:15:08.980,2025-10-21 05:15:47.495
44,19,123,2025-10-21 05:15:24.337,2025-10-21 05:16:16.527
45,16,220,2025-10-21 05:16:02.409,2025-10-21 05:19:49.690
46,31,498,2025-10-21 05:16:46.609,2025-10-21 05:17:36.185
47,30,300,2025-10-21 05:17:03.652,2025-10-21 05:21:23.090
48,14,163,2025-10-21 05:17:04.408,2025-10-21 05:17:14.456
49,14,380,2025-10-21 05:17:15.456,2025-10-21 05:19:04.852
50,15,10,2025-10-21 05:17:49.717,2025-10-21 05:19:11.237
51,9,352,2025-10-21 05:18:04.551,2025-10-21 05:18:24.929
52,6,257,2025-10-21 05:18:35.730,2025-10-21 05:23:24.787
53,2,146,2025-10-21 05:18:42.315,2025-10-21 05:18:55.808
54,20,119,2025-10-21 05:18:55.678,2025-10-21 05:20:53.124
55,36,416,2025-10-21 05:18:56.503,2025-10-21 05:22:45.332
56,14,308,2025-10-21 05:19:06.852,2025-10-21 05:19:07.852
57,17,28,2025-10-21 05:19:09.331,2025-10-21 05:21:21.506
58,11,446,2025-10-21 05:19:09.897,2025-10-21 05:23:09.341
59,12,297,2025-10-21 05:19:49.290,2025-10-21 05:22:40.642
60,35,487,2025-10-21 05:20:08.290,2025-10-21 05:21:04.484
61,20,422,2025-10-21 05:20:54.124,2025-10-21 05:20:55.124
62,30,56,2025-10-21 05:21:24.090,2025-10-21 05:21:25.090
63,4,373,2025-10-21 05:22:16.310,2025-10-21 05:24:06.209
64,6,306,2025-10-21 05:23:26.787,2025-10-21 05:25:43.770
65,38,316,2025-10-21 05:23:58.620,2025-10-21 05:24:04.748
66,36,493,2025-10-21 05:24:10.944,2025-10-21 05:28:06.804
67,14,285,2025-10-21 05:24:29.977,2025-10-21 05:24:55.475
68,17,309,2025-10-21 05:25:49.246,2025-10-21 05:30:09.995
69,25,268,2025-10-21 05:25:57.379,2025-10-21 05:30:54.241
70,3,452,2025-10-21 05:26:34.803,2025-10-21 05:27:54.395
71,22,268,2025-10-21 05:26:47.954,2025-10-21 05:29:42.381
72,15,166,2025-10-21 05:26:54.876,2025-10-21 05:29:19.547
73,18,408,2025-10-21 05:26:59.065,2025-10-21 05:30:03.225
74,9,109,2025-10-21 05:27:52.686,2025-10-21 05:30:20.294
75,19,64,2025-10-21 05:28:45.817,2025-10-21 05:32:43.322
76,7,12,2025-10-21 05:29:35.664,2025-10-21 05:34:31.306
77,20,177,2025-10-21 05:29:41.042,2025-10-21 05:33:42.071
78,22,167,2025-10-21 05:29:45.381,2025-10-21 05:29:46.381
79,8,252,2025-10-21 05:29:51.060,2025-10-21 05:30:34.106
80,18,121,2025-10-21 05:30:04.225,2025-10-21 05:30:05.225
81,13,91,2025-10-21 05:31:44.617,2025-10-21 05:35:13.585
82,10,195,2025-10-21 05:31:45.964,2025-10-21 05:34:53.892
83,23,186,2025-10-21 05:32:11.234,2025-10-21 05:32:20.948
84,23,324,2025-10-21 05:33:59.589,2025-10-21 05:37:32.609
85,2,364,2025-10-21 05:34:07.463,2025-10-21 05:34:49.653
86,11,403,2025-10-21 05:34:39.329,2025-10-21 05:36:37.330
87,5,463,2025-10-21 05:35:27.520,2025-10-21 05:38:12.084
88,39,21,2025-10-21 05:35:27.530,2025-10-21 05:40:07.699
89,17,46,2025-10-21 05:35:32.080,2025-10-21 05:37:16.388
90,24,479,2025-10-21 05:35:45.587,2025-10-21 05:36:04.146
91,19,267,2025-10-21 05:35:48.885,2025-10-21 05:38:30.278
92,6,217,2025-10-21 05:36:32.933,2025-10-21 05:38:35.185
93,38,58,2025-10-21 05:37:29.657,2025-10-21 05:41:21.089
94,23,418,2025-10-21 05:37:34.609,2025-10-21 05:37:35.609
95,5,18,2025-10-21 05:38:15.084,2025-10-21 05:38:18.897
96,19,98,2025-10-21 05:38:33.278,2025-10-21 05:39:25.515
97,6,265,2025-10-21 05:38:37.185,2025-10-21 05:39:56.224
98,26,464,2025-10-21 05:39:01.493,2025-10-21 05:44:01.283
99,15,452,2025-10-21 05:39:41.394,2025-10-21 05:42:53.625
100,4,5,2025-10-21 05:39:51.884,2025-10-21 05:40:25.402
101,21,460,2025-10-21 05:40:00.230,2025-10-21 05:40:09.961
102,30,235,2025-10-21 05:40:06.080,2025-10-21 05:42:18.224
103,11,124,2025-10-21 05:40:22.845,2025-10-21 05:44:21.066
104,5,180,2025-10-21 05:40:49.852,2025-10-21 05:44:23.399
105,3,301,2025-10-21 05:40:58.234,2025-10-21 05:42:16.436
106,24,401,2025-10-21 05:41:14.183,2025-10-21 05:44:47.829
107,7,46,2025-10-21 05:41:39.980,2025-10-21 05:45:18.885
108,2,40,2025-10-21 05:42:14.023,2025-10-21 05:45:45.917
109,21,131,2025-10-21 05:43:40.653,2025-10-21 05:43:47.178
110,10,325,2025-10-21 05:44:24.719,2025-10-21 05:49:08.827
111,19,289,2025-10-21 05:44:43.179,2025-10-21 05:47:27.356
112,7,188,2025-10-21 05:45:19.885,2025-10-21 05:45:20.885
113,1,414,2025-10-21 05:45:25.819,2025-10-21 05:47:05.857
114,5,68,2025-10-21 05:46:07.043,2025-10-21 05:49:44.962
115,18,236,2025-10-21 05:47:22.945,2025-10-21 05:49:55.936
116,9,219,2025-10-21 05:47:44.875,2025-10-21 05:49:23.870
117,8,289,2025-10-21 05:47:59.294,2025-10-21 05:49:04.825
118,19,429,2025-10-21 05:48:49.252,2025-10-21 05:51:41.322
119,33,261,2025-10-21 05:48:52.078,2025-10-21 05:51:00.032
120,10,422,2025-10-21 05:49:09.827,2025-10-21 05:49:10.827
121,9,249,2025-10-21 05:49:25.870,2025-10-21 05:49:54.558
122,32,240,2025-10-21 05:49:44.171,2025-10-21 05:53:05.152
123,18,265,2025-10-21 05:49:58.936,2025-10-21 05:51:12.084
